"ID","Region","Regulated Dam","Primary Purpose","Primary Type","Years Modified","Spillway","Hazard","Assessment","Height (m)","Length (km)","Volume (m3)","Year Completed","Surface (km2)","Drainage (km2)","Last Inspection Date","Inspection Frequency","Distance to Nearest City (km)","Assessment Date","Probability of Failure","Loss given failure - prop (Qm)","Loss given failure - liab (Qm)","Loss given failure - BI (Qm)"
"SOAD07707","Lyndrassia","Yes","Tailings","Earth","2001","Uncontrolled","High","Satisfactory",0,1.044,0,1918,2.16503,66.58225,2019-04-03,1,4.84,2018-06-29,0.1036,120.3,918.2,26
"SOAD10398","Flumevale","No","Other","Rockfill","2018H","Uncontrolled","Significant","Not Rated",2.932,0.027,100,1899,0.2758,5.32658,2012-07-25,2,81.05,2017-05-23,0.1321,156.2,48.3,9
"SOAD10407","Lyndrassia","Yes","Tailings","Earth","2000","Uncontrolled","High","Satisfactory",16.57,1.287,0,1990,0.42946,2.66329,2020-01-08,5,8.69,2020-07-13,0.0927,651.7,425.6,38.3
"SOAD10567","Lyndrassia","Yes","Recreation","Earth","2016","Uncontrolled","Significant","Satisfactory",35.081,0.466,0,1979,7.12943,207.73662,2011-08-30,0,2.35,2011-07-20,0.114,230.5,534.4,4.1
"SOAD10770","Flumevale","No","Fish and Wildlife Pond","Earth","2010M","Uncontrolled","High","Not Rated",10.525,0.05,139326,1875,47.24257,2.66329,2020-02-26,1,0,2017-09-01,0.1203,851.5,772.2,28.8
"SOAD11005","Navaldia","No","Flood Risk Reduction","Earth","2010H","Uncontrolled","High","Not Available",16.88,2.235,2300000,1966,0,0,2022-06-08,5,0,2021-10-05,0.0615,13.3,621.3,44
"SOAD11108","Flumevale","No","Flood Risk Reduction","Earth","2003","Uncontrolled","Significant","Not Available",6.122,0.307,0,2005,0.68359,0,2018-09-11,5,1.54,2021-05-28,0.1411,256.9,461.9,38
"SOAD11302","Lyndrassia","Yes","Recreation","Earth","1989","Uncontrolled","High","Unsatisfactory",14.782,0.153,0,1996,0.04925,0,2020-10-13,1,8.43,2017-04-20,0.1387,30.2,611.4,5.5
"SOAD11500","Lyndrassia","Yes","Recreation","Earth","2000","Uncontrolled","High","Unsatisfactory",15.276,0.1,0,1962,0.14381,11569.33176,2021-12-12,1,6.58,2017-09-01,0.1316,6.8,320.1,39.7
"SOAD12360","Lyndrassia","Yes","Recreation","Earth","1989","Uncontrolled","High","Unsatisfactory",16.119,0.4,180448,1982,0.04728,26.6329,2021-11-04,1,0,2017-09-01,0.1421,30.9,948.3,6.5
"SOAD12606","Lyndrassia","Yes","Irrigation","Earth","2008","Uncontrolled","High","Not Rated",15.807,0.317,129110,2003,0.44916,2.66329,2021-09-07,3,87.32,2022-07-27,0.1011,141.8,215.8,26.2
"SOAD12607","Lyndrassia","Yes","Recreation","Earth","1989","Uncontrolled","High","Unsatisfactory",17.347,0.182,40000,1968,0.06895,26.6329,2023-07-19,1,1.66,2019-11-21,0.1338,7.6,732.8,4.3
"SOAD12910","Navaldia","Yes","Other","Earth","2014H","Uncontrolled","Significant","Unsatisfactory",0,0.067,0,1988,4.27293,258.33913,2020-02-14,2,0,2022-07-27,0.1771,453.8,472.6,9.2
"SOAD13361","Flumevale","No","Debris Control","Timber Crib","2012H","Uncontrolled","Significant","Not Rated",12.253,0.138,9630,1941,0.34869,45.27593,2015-09-28,2,4.71,2020-05-29,0.1454,461.4,341.7,6
"SOAD13714","Lyndrassia","Yes","Recreation","Earth","1993","Uncontrolled","High","Unsatisfactory",14.26,0.167,62430,1988,0.06304,10.65316,2013-05-23,3,4.65,2019-01-28,0.1413,39.5,576.5,3.6
"SOAD14020","Lyndrassia","Yes","Recreation","Earth","1987","Uncontrolled","High","Unsatisfactory",13.282,0.145,0,1950,0.0394,231.70623,2003-11-13,0,21.46,2014-06-18,0.1369,17.8,250.2,6.5
"SOAD14215","Navaldia","Yes","Other","Earth","2006H","Uncontrolled","Significant","Not Rated",0,0.267,0,1978,0.69738,5.32658,2008-02-27,2,16.83,2014-06-18,0.1373,68.1,175.4,8.2
"SOAD14437","Navaldia","Yes","Recreation","Earth","2017S","Uncontrolled","Significant","Fair",9.103,0.067,14000,1964,1.2214,5.32658,2018-12-19,2,40.1,2020-02-24,0.1439,333.9,179.7,3.5
"SOAD14563","Flumevale","No","Other","Rockfill","1968M","Uncontrolled","Significant","Not Rated",3.858,0.03,0,1899,0.77027,0,2012-07-25,0,27.71,2014-06-18,0.1324,223.3,368.4,46.4
"SOAD14661","Lyndrassia","Yes","Recreation","Earth","2000","Uncontrolled","High","Unsatisfactory",14.285,0.2,80000,1999,0.08668,7.98987,2020-05-19,3,12.57,2020-02-05,0.1388,10,755.7,3.7
"SOAD14832","Lyndrassia","Yes","Recreation","Earth","1993","Uncontrolled","High","Unsatisfactory",13.691,0.225,78260,2002,0.17336,5.32658,2018-10-18,3,7.67,2010-10-04,0.1534,26,495.2,5.2
"SOAD15410","Navaldia","Yes","Other","Earth","2010M","Uncontrolled","Significant","Poor",0,0.093,0,1960,0.05713,10.65316,2021-03-16,2,24.83,2017-09-01,0.1527,39.4,421.5,37.5
"SOAD15761","Lyndrassia","No","Recreation","Earth","1987","Uncontrolled","High","Satisfactory",40.912,0.162,294000,1981,12.67104,426.1264,2021-04-25,1,17.39,2019-10-11,0.0874,910.7,208.7,4.1
"SOAD16079","Lyndrassia","Yes","Recreation","Earth","1989","Uncontrolled","High","Unsatisfactory",13.32,0.197,80000,1969,0.03349,0,2017-06-26,5,0,2023-09-11,0.1325,15.9,952.6,7.6
"SOAD16467","Lyndrassia","Yes","Recreation","Earth","1993","Uncontrolled","High","Unsatisfactory",13.752,0.15,24600,1981,0.06304,0,2020-09-28,3,1.64,2023-02-08,0.1381,33.2,932.1,8.7
"SOAD16854","Lyndrassia","Yes","Recreation","Earth","1987","Uncontrolled","High","Unsatisfactory",13.08,0.292,59359,1986,0.05516,7.98987,2019-04-17,2,13.52,2022-12-06,0.1368,18.2,454.3,6.7
"SOAD17206","Lyndrassia","Yes","Other","Earth","1988","Uncontrolled","High","Not Rated",12.642,0.133,0,2002,0.08077,0,2021-09-07,3,0,2022-05-23,0.0951,27.1,863.9,5.5
"SOAD17553","Navaldia","Yes","Recreation","Earth","1986O;1998M;1998O","Uncontrolled","Significant","Not Rated",3.419,0.13,20000,1959,0.29944,2.66329,2015-09-29,2,20.31,2020-09-14,0.1362,271.6,123.8,5.6
"SOAD17601","Lyndrassia","Yes","Recreation","Earth","1993","Uncontrolled","High","Unsatisfactory",14.216,0.175,37900,2012,0.03743,0,2020-11-19,3,1.54,2012-02-16,0.1175,12.7,552.7,9.5
"SOAD17642","Lyndrassia","Yes","Recreation","Earth","2000","Uncontrolled","High","Not Rated",14.396,2.8,0,2018,6.48327,522.00484,2022-08-29,3,9.43,2019-07-11,0.0792,939.5,181,26.4
"SOAD18020","Lyndrassia","Yes","Recreation","Earth","2016","Uncontrolled","Significant","Satisfactory",28.472,0.233,0,2000,0.29747,10.65316,2011-08-30,0,2.43,2011-07-20,0.1325,375.1,318.3,5.7
"SOAD18122","Flumevale","No","Other","Earth","1987","Uncontrolled","High","Not Rated",13.878,0.073,0,1949,4.0976,1515.41201,2020-02-26,1,0.16,2023-01-30,0.102,925.1,619.9,9.2
"SOAD18532","Navaldia","Yes","Recreation","Earth","1986O;1998M;1998O","Uncontrolled","Significant","Not Rated",0,0.167,635,2004,0.44719,2.66329,2020-12-02,2,94.79,2020-01-02,0.1365,429.3,42.4,3
"SOAD19679","Lyndrassia","Yes","Recreation","Earth","2008","Uncontrolled","High","Not Rated",14.637,0.225,0,1962,0.11426,167.78727,2022-10-05,3,4.94,2017-09-01,0.111,30.4,927.7,4.9
"SOAD00531","Flumevale","No","Hydroelectric","Concrete","1968M","Uncontrolled","Significant","Satisfactory",5.452,2.467,142500,1988,3.85135,7965.90039,2023-08-31,1,16.83,2023-09-29,0.1362,441.6,446,78.2
"SOAD08570","Flumevale","No","Hydroelectric","Concrete","2003","Uncontrolled","Significant","Satisfactory",3.451,0.523,0,1872,0.00788,37.28606,2023-08-29,1,28,2023-09-29,0.1192,8.6,196.4,59.5
"SOAD09546","Flumevale","No","Hydroelectric","Earth","2004","Uncontrolled","Significant","Not Available",0.346,0.067,0,1988,0.39203,7.98987,2020-09-30,1,2.33,2017-09-01,0.1111,112.7,257.4,9.2
"SOAD14594","Navaldia","Yes","Recreation","Earth","2016H","Uncontrolled","Significant","Poor",2.825,0.067,4715,1923,0.06501,13.31645,2018-12-05,2,34.11,2013-05-24,0.1398,6.7,235.1,5.2
"SOAD15319","Flumevale","No","Hydroelectric","Rockfill","1996","Uncontrolled","Significant","Satisfactory",12.066,0.223,75000,1965,1.31202,35962.40487,2023-08-01,1,75.25,2023-09-29,0.1101,171.3,216,55.9
"SOAD16049","Navaldia","Yes","Debris Control","Gravity","2002F","Uncontrolled","High","Fair",4.704,0.027,250,1966,4.56449,2.66329,2020-08-26,1,1.56,2021-05-24,0.1113,662.4,805.4,46
"SOAD19425","Flumevale","No","Flood Risk Reduction","Earth","2010H","Uncontrolled","High","Satisfactory",27.419,0.347,220000,1971,0.00788,5.32658,2023-07-06,1,6.32,2023-09-29,0.1104,16.4,201.5,93.5
"SOAD02827","Navaldia","Yes","Recreation","Earth","2009H","Uncontrolled","High","Fair",3.001,0.163,5550,1984,0.00591,0,2023-03-15,5,3.17,2023-08-15,0.0916,40.3,690.1,4.6
"SOAD04177","Navaldia","Yes","Flood Risk Reduction","Earth","2005H","Uncontrolled","Significant","Satisfactory",7.397,0.025,0,1999,0.21276,2.66329,2018-11-29,2,40.1,2021-03-31,0.121,185.5,218.2,8.1
"SOAD08152","Navaldia","Yes","Flood Risk Reduction","Earth","2002S","Uncontrolled","High","Fair",3.452,0.047,4e+05,2016,9.28658,442.10614,2021-08-09,5,0,2021-12-09,0.0753,611,934.6,8.6
"SOAD10896","Navaldia","Yes","Recreation","Earth","2011O","Uncontrolled","Significant","Satisfactory",3.556,0.06,0,1973,0.00394,2.66329,2017-11-17,2,0,2020-09-14,0.1378,28.1,103.3,4.6
"SOAD12764","Lyndrassia","Yes","Flood Risk Reduction","Earth","1989","Uncontrolled","High","Satisfactory",13.925,0.1,30000,1989,0.00788,0,2020-05-14,2,7.74,2007-12-19,0.0905,10.8,129.6,25.5
"SOAD17150","Navaldia","Yes","Flood Risk Reduction","Earth","2015H","Uncontrolled","High","Fair",6.819,0.067,5600,1948,0,0,2020-02-13,5,0.16,2021-04-01,0.0985,39.2,851.5,17
"SOAD17354","Navaldia","Yes","Recreation","Earth","1985H","Uncontrolled","Significant","Fair",10.606,0.053,23000,2008,0.02364,0,2022-06-15,5,1.67,2022-08-25,0.1097,8,865.3,51.7
"SOAD02782","Navaldia","Yes","Flood Risk Reduction","Earth","2005H","Uncontrolled","Significant","Fair",4.227,0.083,0,1991,0.00591,2.66329,2019-04-25,2,3.35,2021-05-24,0.1357,47.1,418.9,23.2
"SOAD14624","Navaldia","Yes","Flood Risk Reduction","Earth","2003H","Uncontrolled","Significant","Fair",3.41,0.063,4851,1985,0.2758,2.66329,2020-04-14,2,26.77,2021-09-01,0.1433,373.8,255.4,6.8
"SOAD15975","Navaldia","No","Recreation","Earth","1995O","Uncontrolled","Significant","Not Rated",5.836,0.027,675,1935,0.00394,0,2009-08-18,2,1.66,2014-08-18,0.1649,13.3,322.8,15.2
"SOAD00979","Lyndrassia","Yes","Recreation","Earth","2000","Uncontrolled","High","Not Rated",14.781,0.108,95000,1996,0.34081,26.6329,2021-01-21,1,1.69,2019-10-11,0.1556,479.6,579.1,6.2
"SOAD03833","Flumevale","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","1996","Uncontrolled","Significant","Satisfactory",3.977,0.115,2773,1983,0.00788,0,2020-06-18,2,11.26,2020-06-18,0.1354,39.8,121.9,6
"SOAD09276","Lyndrassia","Yes","Other","Earth","1997","Uncontrolled","Significant","Satisfactory",22.852,0.1,43000,1993,0.00788,0,2023-01-19,2,0,2007-12-21,0.114,35.1,293.8,55.9
"SOAD13160","Navaldia","Yes","Recreation","Earth","2005S","Uncontrolled","High","Poor",2.784,0.133,1800,1975,0.01379,0,2021-12-07,2,1.61,2022-03-17,0.1141,36.1,107.1,7.3
"SOAD14182","Flumevale","No","Tailings","Earth","2003","Uncontrolled","High","Not Available",8.658,0.267,11100,1908,50.57384,727.07817,2021-08-18,1,4.75,2019-09-30,0.1235,844.9,374.4,33.3
"SOAD14607","Navaldia","No","Recreation","Earth","2000O","Uncontrolled","Significant","Not Rated",5.355,0.123,14808,1965,0.00788,0,2007-10-17,0,16.56,2014-06-18,0.1451,7.9,446.3,7.3
"SOAD15607","Navaldia","Yes","Flood Risk Reduction","Earth","2011H","Uncontrolled","Significant","Satisfactory",6.12,0.04,49710,1992,0.54372,2.66329,2019-07-19,2,42.56,2020-07-21,0.1106,186.3,161.6,3
"SOAD18799","Navaldia","Yes","Flood Risk Reduction","Earth","2013O","Uncontrolled","High","Satisfactory",3.336,0.123,0,1955,1.18397,2.66329,2020-12-04,1,0.34,2023-09-29,0.1017,532.3,925.3,6.4
"SOAD01460","Navaldia","Yes","Recreation","Earth","2005S","Uncontrolled","High","Poor",9.399,0.133,23000,1948,0,2.66329,2020-02-12,2,4.6,2021-03-31,0.13,41.8,596.3,36.6
"SOAD02312","Flumevale","No","Other","Earth","1998;1998S","Uncontrolled","Significant","Not Available",10.679,0.08,0,1960,1.52281,181697.63367,1979-09-04,0,1.67,2014-06-18,0.1661,306.3,365.5,4.4
"SOAD07202","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth","1991S","Uncontrolled","Significant","Not Rated",4.746,0.11,8000,1990,0.00788,0,2009-07-08,5,21.38,2014-07-08,0.0923,19,308.6,8.3
"SOAD10724","Navaldia","Yes","Flood Risk Reduction","Earth","2017O","Uncontrolled","Significant","Fair",4.217,0.143,45000,2021,0.00788,61.25567,2021-04-21,5,0,2021-08-23,0.1184,7.5,369,8.2
"SOAD14722","Navaldia","Yes","Flood Risk Reduction","Earth","2010H","Uncontrolled","High","Satisfactory",3.556,0.053,97000,1998,0.26004,7.98987,2020-12-29,1,0,2017-09-01,0.1039,625.3,716.1,3.7
"SOAD20423","Navaldia","Yes","Flood Risk Reduction","Earth","2011O","Uncontrolled","High","Fair",3.25,0.117,50000,1994,0.45507,2.66329,2021-01-28,1,8.08,2017-09-01,0.096,632.1,897.7,5.4
"SOAD00063","Navaldia","No","Recreation","Earth","1989O","Uncontrolled","Significant","Not Rated",3.509,0,0,1982,0,0,2009-07-28,0,11.38,2014-07-28,0.1722,36.1,42.1,5.5
"SOAD01247","Flumevale","No","Water Supply","Earth","2007","Uncontrolled","Significant","Not Available",7.299,0.253,0,1964,0.64616,772.3541,2020-12-10,1,1.67,2017-09-01,0.1451,312.7,887.2,47.5
"SOAD04234","Navaldia","Yes","Flood Risk Reduction","Earth","1982H;2015S","Uncontrolled","High","Fair",4.295,0.1,0,1948,0,0,2020-02-12,5,0,2021-03-31,0.0574,42.9,263.9,46.6
"SOAD05848","Navaldia","Yes","Recreation","Earth","2016H","Uncontrolled","Significant","Poor",4.178,0.067,5964,1973,0.00591,2.66329,2017-11-17,2,1.61,2022-07-27,0.1479,25,424.5,6.3
"SOAD07932","Lyndrassia","Yes","Other","Earth","1988","Uncontrolled","High","Satisfactory",14.982,0.07,0,1988,0.00394,0,2023-04-04,2,9.2,2008-09-04,0.1094,9.9,248.4,4.6
"SOAD12960","Navaldia","Yes","Water Supply","Earth","2008O","Uncontrolled","High","Poor",6.807,0.067,11000,1915,0.00788,10.65316,2020-10-14,1,0,2017-09-01,0.1269,35.4,874.2,17
"SOAD13126","Navaldia","Yes","Flood Risk Reduction","Earth","1985S","Uncontrolled","High","Fair",5.159,0.117,10000,1960,0.01773,0,2021-08-09,5,0,2021-12-09,0.0779,37.4,797.4,54.1
"SOAD20522","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth","1996","Uncontrolled","Significant","Not Rated",15.395,0.073,0,1989,0.00197,0,2021-12-12,5,9.51,2007-12-19,0.1375,28.9,162.5,55.9
"SOAD20772","Navaldia","Yes","Flood Risk Reduction","Earth","2002S","Uncontrolled","High","Fair",8.209,0.083,0,1934,0,0,2020-02-12,5,0,2020-08-28,0.074,37.9,914.9,6.6
"SOAD01504","Navaldia","Yes","Flood Risk Reduction","Earth","1982H;2015S","Uncontrolled","High","Fair",3.262,0.173,22164,1949,0.01576,2.66329,2019-12-05,5,0,2019-07-01,0.087,26,594.1,55.8
"SOAD05174","Navaldia","Yes","Flood Risk Reduction","Earth","1978H","Uncontrolled","High","Fair",8.942,0.09,7400,1912,0,0,2020-02-13,5,0.16,2021-04-01,0.0881,27.2,305,17.3
"SOAD06379","Navaldia","No","Recreation","Earth","1988S","Uncontrolled","Significant","Not Rated",7.121,0.024,3641,1982,0.00591,0,2009-08-18,5,12.57,2014-08-18,0.111,23.1,392.8,54.1
"SOAD09118","Navaldia","Yes","Recreation","Earth","2002H","Uncontrolled","Significant","Satisfactory",7.888,0.1,0,1950,0.02955,23.96961,2020-08-27,2,34.35,2023-04-28,0.1212,5.9,71.8,8.3
"SOAD10640","Navaldia","Yes","Flood Risk Reduction","Earth","2017O","Uncontrolled","Significant","Fair",3.884,0.058,4140,2009,0.00788,0,2021-12-08,5,0,2022-07-27,0.1218,9.4,124.5,2.9
"SOAD11247","Navaldia","Yes","Recreation","Earth","2017S","Uncontrolled","Significant","Fair",3.242,0.04,1680,1936,0.02167,2.66329,2017-06-29,2,16.54,2015-02-27,0.1364,6.1,252.1,6
"SOAD11707","Navaldia","No","Recreation","Earth","1983S","Uncontrolled","Significant","Not Rated",5.459,0.039,0,1970,0.00788,0,2009-08-18,2,7.18,2014-08-18,0.1546,32.1,400.2,5.5
"SOAD11867","Flumevale","Yes","Water Supply","Earth","2000","Uncontrolled","Significant","Fair",4.43,0.083,400,1999,0.00788,0,2013-05-24,2,11.38,2013-05-24,0.1314,18.3,151.7,15
"SOAD11892","Flumevale","No","Water Supply","Earth","2006E","Uncontrolled","High","Not Available",5.94,0.032,0,1963,3.8612,7.98987,1990-08-07,0,1.63,2014-06-18,0.0765,719.6,565.6,15.9
"SOAD15152","Flumevale","Yes","Flood Risk Reduction","Earth","1985S","Uncontrolled","High","Fair",11.071,0.095,21140,2005,0.00788,0,2020-09-17,1,3.14,2020-09-17,0.1114,43.7,816.2,8.7
"SOAD15867","Navaldia","Yes","Recreation","Earth","2002S","Uncontrolled","High","Fair",5.156,0.183,23000,1982,0.03349,2.66329,2021-01-19,1,0,2020-05-29,0.1167,15.5,887.5,8.2
"SOAD02714","Flumevale","No","Water Supply","Earth","1997","Uncontrolled","High","Not Available",13.753,0.033,180120,2014,0.53781,0,2022-06-21,1,7.67,2022-04-11,0.1083,672.7,452.4,51.7
"SOAD03129","Lyndrassia","Yes","Recreation","Earth","1999","Uncontrolled","Significant","Satisfactory",16.055,0.053,0,1999,0.00394,0,2021-11-02,5,4.99,2007-12-19,0.1143,37.2,379.4,8
"SOAD04965","Navaldia","No","Flood Risk Reduction","Earth","2017O","Uncontrolled","Significant","Fair",4.496,0.07,2332,1950,0.08668,7.98987,2022-08-30,1,27.24,2023-04-10,0.1312,127.5,319.7,88.3
"SOAD05372","Flumevale","Yes","Irrigation","Earth","2007","Uncontrolled","Significant","Fair",5.634,0.08,3550,1960,0.00788,7.98987,2021-06-21,2,16.56,2021-06-21,0.1503,8.1,260.9,24.6
"SOAD05893","Navaldia","Yes","Other","Earth","2014S","Uncontrolled","Significant","Not Rated",7.354,0.048,0,1963,0.00788,7.98987,2017-03-29,2,97.57,2021-10-14,0.167,17.2,74.7,8.3
"SOAD11286","Flumevale","Yes","Recreation","Earth","1965H;1965M;1965S","Uncontrolled","Significant","Fair",3.498,0.133,5550,1966,0.00788,7.98987,2022-08-29,2,1.59,2022-08-29,0.1333,11.7,704.8,4.9
"SOAD12488","Navaldia","No","Other","Earth","1983S","Uncontrolled","Significant","Not Rated",4.199,0.043,3556,1982,0.00788,0,2009-08-24,5,19.89,2014-08-24,0.1619,44.7,473.7,8.3
"SOAD18907","Navaldia","Yes","Flood Risk Reduction","Earth","2013O","Uncontrolled","High","Satisfactory",4.068,0.125,16400000,1986,0.88059,2.66329,2021-01-28,1,0.8,2020-01-24,0.085,862.4,828.4,6.9
"SOAD00892","Navaldia","Yes","Flood Risk Reduction","Earth","2011H","Uncontrolled","Significant","Not Rated",4.974,0.147,1e+05,1993,0.86483,2.66329,2018-07-27,2,9.88,2021-10-14,0.1355,310.9,31.4,37.8
"SOAD11305","Navaldia","Yes","Recreation","Earth","2005H;2005S","Uncontrolled","High","Satisfactory",5.32,0.067,2253,1915,0.00591,7.98987,2020-10-12,1,4.78,2022-05-23,0.0907,42.2,713.7,5.9
"SOAD14530","Navaldia","Yes","Flood Risk Reduction","Earth","2010H","Uncontrolled","Significant","Fair",3.487,0.16,4160,1979,0.56933,2.66329,2019-03-22,2,92.44,2020-07-25,0.1276,388,302.4,3.4
"SOAD15004","Navaldia","Yes","Recreation","Earth","2002S","Uncontrolled","High","Fair",6.437,0.05,10946,1951,0.00985,2.66329,2021-03-23,1,0,2017-09-01,0.1056,12.8,805.9,7.1
"SOAD15153","Navaldia","Yes","Recreation","Earth","2011O","Uncontrolled","Significant","Satisfactory",6.847,0.067,7400,1966,0.01182,2.66329,2017-11-15,2,20.53,2021-08-18,0.1042,43.1,350,8.7
"SOAD15297","Navaldia","Yes","Recreation","Earth","2004H;2004S","Uncontrolled","Significant","Fair",3.795,0.037,3550,1968,0.01576,2.66329,2020-12-04,2,1.59,2020-02-28,0.1444,27.9,276.7,6.6
"SOAD16517","Lyndrassia","No","Fire Protection, Stock, Or Small Fish Pond","Earth","2011S","Uncontrolled","Significant","Not Rated",10.489,0.027,0,1965,0.00591,21.30632,2000-02-03,0,0,2014-06-18,0.1392,39.4,287.2,6.6
"SOAD20131","Navaldia","Yes","Recreation","Earth","1991S","Uncontrolled","High","Not Rated",3.533,0.15,38012,1960,0.01773,0,2016-09-14,5,1.61,2021-09-14,0.1054,43.2,904.3,4.7
"SOAD00226","Navaldia","Yes","Flood Risk Reduction","Earth","2011H","Uncontrolled","Significant","Satisfactory",8.065,0.083,6095,1965,0.00985,0,2018-10-19,2,6.61,2022-09-09,0.122,18.4,339.5,5.7
"SOAD01190","Navaldia","Yes","Recreation","Earth","1975S","Uncontrolled","High","Not Rated",5.321,0.133,36000,1968,0.00788,0,2015-03-26,5,0,2020-03-26,0.1004,9.5,590,3.1
"SOAD04969","Navaldia","Yes","Recreation","Earth","2005H;2005S","Uncontrolled","Significant","Unsatisfactory",3.854,0.073,1800,1950,0.01773,7.98987,2022-11-29,2,43.12,2023-04-10,0.1767,14.6,169.9,5.5
